name,source,gender,wikidata,type
"Passaggio Norma Cossetto - Norma-Cossetto-Passage",wikidata,F,Q869328,way
"Piazza Angela Nikoletti - Angela-Nikoletti-Platz",wikidata,F,Q90145,way
"Piazza Anita Pichler - Anita-Pichler-Platz",wikidata,F,Q550824,way
"Piazzetta Maria Delago - Maria-Delago-Platz",wikidata,F,Q97143251,way
"Via Ada Buffulini - Ada-Buffulini-Straße",wikidata,F,Q3604911,way
"Via Andreina Emeri - Andreina-Emeri-Straße",wikidata,F,Q502772,way
"Via Claudia De' Medici - Claudia-De'-Medici-Straße",wikidata,F,Q253814,way
"Via Grazia Deledda - Grazia-Deledda-Straße",wikidata,F,Q7728,way
"Via Ipazia - Hypatiastraße",wikidata,F,Q11903,way
"Via Laura Conti - Laura-Conti-Weg",wikidata,F,Q3827749,way
"Via Lise Meitner - Lise-Meitner-Straße",wikidata,F,Q56189,way
"Via Lucia Frischin - Lucia-Frischin-Straße",wikidata,F,Q96080524,way
"Via Marie Curie - Marie-Curie-Straße",wikidata,F,Q7186,way
"Via Santa Geltrude - St.-Gertraud-Weg",wikidata,F,Q61934,way
"Via Waltraud Gebert Deeg - Waltraud-Gebert-Deeg-Straße",wikidata,F,Q1372618,way
"Largo Adolph Kolping - Adolph-Kolping-Straße",wikidata,M,Q60619,way
"Largo Giovanni Palatucci - Giovanni-Palatucci-Platz",wikidata,M,Q737740,way
"Passaggio Walter Tobagi - Walter-Tobagi-Weg",wikidata,M,Q4018031,way
"Piazza Giacomo Matteotti - Giacomo-Matteotti-Platz",wikidata,M,Q267304,way
"Piazza Silvius Magnago - Silvius-Magnago-Platz",wikidata,M,Q9399,way
"Piazza del Tribunale - Gerichtsplatz",wikidata,M,Q549097,way
"Via A. Rosmini - A. Rosmini-Straße",wikidata,M,Q337311,way
"Via Achille Grandi - Achille-Grandi-Straße",wikidata,M,Q3604378,way
"Via Albert Einstein - Albert-Einstein-Straße",wikidata,M,Q937,way
"Via Albrecht Dürer - Albrecht-Dürer-Straße",wikidata,M,Q5580,way
"Via Alessandro Volta - Alessandro-Volta-Straße",wikidata,M,Q680,way
"Via Amedeo Avogadro - Amedeo-Avogadro-Straße",wikidata,M,Q43476,way
"Via Andreas Hofer - Andreas-Hofer-Straße",wikidata,M,Q11697,way
"Via Antonio Locatelli - Antonio-Locatelli-Straße",wikidata,M,Q2857333,way
"Via Antonio Pacinotti - Antonio-Pacinotti-Straße",wikidata,M,Q460747,way
"Via Antonio Stradivari - Antonio-Stradivari-Straße",wikidata,M,Q182011,way
"Via Armando Diaz - Armando-Diaz-Straße",wikidata,M,Q333778,way
"Via Augusto Righi - Augusto-Righi-Straße",wikidata,M,Q742634,way
"Via Aurelio Nicolodi - Aurelio-Nicolodi-Straße",wikidata,M,Q3629821,way
"Via Beato Arrigo - Selig-Heinrich-Straße",wikidata,M,Q332854,way
"Via Beda Weber - Beda-Weber-Straße",wikidata,M,Q286894,way
"Via Bruno Buozzi - Bruno-Buozzi-Straße",wikidata,M,Q3645670,way
"Via Camillo Zancani - Camillo-Zancani-Straße",wikidata,M,Q27688676,way
"Via Canonico Michael Gamper - Kanonikus-Michael-Gamper-Straße",wikidata,M,Q953052,way
"Via Cavour - Cavourstraße",wikidata,M,Q166092,way
"Via Cesare Battisti - Cesare-Battisti-Straße",wikidata,M,Q78782,way
"Via Dante - Dantestraße",wikidata,M,Q1067,way
"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse",wikidata,M,Q1708051,way
"Via Enrico Fermi - Enrico-Fermi-Straße",wikidata,M,Q8753,way
"Via Enzo Ferrari - Enzo-Ferrari-Straße",wikidata,M,Q181282,way
"Via Evangelista Torricelli - Evangelista-Torricelli-Straße",wikidata,M,Q102490,way
"Via Fabio Filzi - Fabio-Filzi-Straße",wikidata,M,Q3737708,way
"Via Francesco Crispi - Francesco-Crispi-Straße",wikidata,M,Q332626,way
"Via Francesco Rismondo - Francesco-Rismondo-Straße",wikidata,M,Q3750542,way
"Via Franz Von Defregger - Franz-Von-Defregger-Straße",wikidata,M,Q78711,way
"Via Galileo Galilei - Galileo-Galilei-Straße",wikidata,M,Q307,way
"Via Giosue' Carducci - Giosue'-Carducci-Straße",wikidata,M,Q43440,way
"Via Giotto - Giottostraße",wikidata,M,Q7814,way
"Via Giovanni Caproni - Giovanni-Caproni-Straße",wikidata,M,Q501316,way
"Via Giovanni Keplero - Johannes-Kepler-Straße",wikidata,M,Q8963,way
"Via Giovanni Pascoli - Giovanni-Pascoli-Straße",wikidata,M,Q375998,way
"Via Giovanni Segantini - Giovanni-Segantini-Straße",wikidata,M,Q379300,way
"Via Giuseppe Garibaldi - Giuseppe-Garibaldi-Straße",wikidata,M,Q539,way
"Via Giuseppe di Vittorio - Giuseppe-Di-Vittorio-Straße",wikidata,M,Q728583,way
"Via Giuseppe di Vittorio - Giuseppe-di-Vittorio-Straße",wikidata,M,Q728583,way
"Via Guglielmo Marconi - Guglielmo-Marconi-Straße",wikidata,M,Q36488,way
"Via Gustav Mahler - Gustav-Mahler-Straße",wikidata,M,Q7304,way
"Via Gutenberg - Gutenbergstraße",wikidata,M,Q8958,way
"Via Johann Kravogl - Johann-Kravogl-Straße",wikidata,M,Q1695212,way
"Via Josef Mayr-Nusser - Josef-Mayr-Nusser-Weg",wikidata,M,Q882928,way
"Via Josef Ressel - Josef-Ressel-Straße",wikidata,M,Q78558,way
"Via Louis Braille - Louis-Braille-Straße",wikidata,M,Q93182,way
"Via Ludwig Thuille - Ludwig-Thuille-Straße",wikidata,M,Q702158,way
"Via Ludwig Von Comini - Ludwig-Von-Comini-Straße",wikidata,M,Q15138237,way
"Via Luigi Cadorna - Luigi-Cadorna-Straße",wikidata,M,Q333809,way
"Via Luigi Galvani - Luigi-Galvani-Straße",wikidata,M,Q1589,way
"Via Luigi Negrelli - Luigi-Negrelli-Straße",wikidata,M,Q78836,way
"Via Luis Zuegg - Luis-Zuegg-Straße",wikidata,M,Q1876546,way
"Via Manlio Longon - Manlio-Longon-Straße",wikidata,M,Q3844732,way
"Via Marco Polo - Marco-Polo-Straße",wikidata,M,Q6101,way
"Via Martin Knoller - Martin-Knoller-Straße",wikidata,M,Q872310,way
"Via Max Planck - Max-Planck-Straße",wikidata,M,Q9021,way
"Via Max Valier - Max-Valier-Straße",wikidata,M,Q621510,way
"Via Michael Gaismair - Michael-Gaismair-Straße",wikidata,M,Q572435,way
"Via Michael Pacher - Michael-Pacher-Straße",wikidata,M,Q463922,way
"Via Nazario Sauro - Nazario-Sauro-Straße",wikidata,M,Q114387,way
"Via Nicolò Rasmo - Nicolò-Rasmo-Straße",wikidata,M,Q2783181,way
"Via Nicolo' Copernico - Nikolaus-Kopernikus-Straße",wikidata,M,Q619,way
"Via Nino Bixio - Nino-Bixio-Straße",wikidata,M,Q699354,way
"Via Orazio - Horazstraße",wikidata,M,Q6197,way
"Via P. Rosegger - P. Rosegger-Straße",wikidata,M,Q93841,way
"Via Padre Reginaldo Giuliani - Pater-R.-Giuliani-Straße",wikidata,M,Q3931860,way
"Via Peter Mayr - Peter-Mayr-Straße",wikidata,M,Q876067,way
"Via Peter Mitterhofer - Peter-Mitterhofer-Straße",wikidata,M,Q2077094,way
"Via Pier Fortunato Calvi - Pier-Fortunato-Calvi-Straße",wikidata,M,Q2094391,way
"Via Piero Gobetti - Piero-Gobetti-Straße",wikidata,M,Q532852,way
"Via San Maurizio - Moritzinger Weg",wikidata,M,Q316599,way
"Via San Vigilio - Sankt-Vigil-Straße",wikidata,M,Q194395,way
"Via San Vigilio - St.-Vigil-Straße",wikidata,M,Q194395,way
"Via Sebastian Altmann - Sebastian-Altmann-Straße",wikidata,M,Q1763917,way
"Via Sir Isaac Newton - Sir-Isaac-Newton-Straße",wikidata,M,Q935,way
"Via Thomas Alva Edison - Thomas-Alva-Edison-Straße",wikidata,M,Q8743,way
"Via Toni Ebner - Toni-Ebner-Straße",wikidata,M,Q700804,way
"Via Vincenzo Lancia - Vincenzo Lancia Straße",wikidata,M,Q450951,way
"Via Vincenzo Lancia - Vincenzo-Lancia-Straße",wikidata,M,Q450951,way
"Via Virgilio - Virgilstraße",wikidata,M,Q1398,way
"Via Werner Von Siemens - Werner-Von-Siemens-Straße",wikidata,M,Q58577,way
"Viale Amedeo Duca d'Aosta - Amedeo-Duca-D'Aosta-Allee",wikidata,M,Q431121,way
"Viale Giacomo Puccini - Giacomo-Puccini-Allee",wikidata,M,Q7311,way
"Viale Principe Eugenio di Savoia - Prinz-Eugen-Allee",wikidata,M,Q152428,way
"Viale Wolfgang Amadeus Mozart - Wolfgang-Amadeus-Mozart-Allee",wikidata,M,Q254,way
